2019-06-21 23:50:24,686 [  51694]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index vue.local.directives.index will be built. 
2019-06-21 23:50:24,687 [  51695]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index vuex.store.index will be built. 
2019-06-21 23:50:24,689 [  51697]   INFO - exImpl$StubIndexInitialization - Initialization done:164 
2019-06-21 23:50:25,351 [  52359]   INFO - penapi.wm.impl.GlobalMenuLinux - Closed dbus-service 'com.canonical.AppMenu.Registrar' 
2019-06-21 23:50:25,493 [  52501]   INFO - com.intellij.ide.ui.UISettings - Loaded: fontSize=12, fontScale=1.0; restored: fontSize=12, fontScale=1.0 
2019-06-21 23:50:26,190 [  53198]   INFO - j.ide.ui.OptionsTopHitProvider - 499 ms spent on EDT to cache options in application 
2019-06-21 23:50:27,074 [  54082]   INFO - .openapi.application.Preloader - com.intellij.openapi.actionSystem.impl.ActionPreloader took 2903 ms 
2019-06-21 23:50:27,657 [  54665]   INFO - .openapi.application.Preloader - com.intellij.ide.ui.search.SearchableOptionPreloader took 582 ms 
2019-06-21 23:50:28,327 [  55335]   INFO - .openapi.application.Preloader - com.intellij.codeInsight.completion.CompletionPreloader took 669 ms 
2019-06-21 23:50:28,337 [  55345]   INFO - .openapi.application.Preloader - com.intellij.ide.actions.GotoClassPresentationUpdater took 9 ms 
2019-06-21 23:50:29,191 [  56199]   INFO - ellij.project.impl.ProjectImpl - 15 project components initialized in 332 ms 
2019-06-21 23:50:52,599 [  79607]   INFO - rationStore.ComponentStoreImpl - Saving appCodeInsightSettings took 11 ms, FileTypeManager took 16 ms, XDebuggerSettings took 17 ms 
2019-06-21 23:50:52,675 [  79683]   INFO - stubs.SerializationManagerImpl - START StubSerializationManager SHUTDOWN 
2019-06-21 23:50:52,676 [  79684]   INFO - stubs.SerializationManagerImpl - END StubSerializationManager SHUTDOWN 
2019-06-21 23:50:52,676 [  79684]   INFO - il.indexing.FileBasedIndexImpl - START INDEX SHUTDOWN 
2019-06-21 23:50:52,721 [  79729]   INFO - il.indexing.FileBasedIndexImpl - END INDEX SHUTDOWN 
2019-06-21 23:50:52,725 [  79733]   INFO - org.jetbrains.io.BuiltInServer - web server stopped 
2019-06-21 23:50:52,731 [  79739]   INFO - Types.impl.FileTypeManagerImpl - FileTypeManager: 4 auto-detected files
Elapsed time on auto-detect: 121 ms 
2019-06-21 23:50:52,748 [  79756]   INFO - pl.local.NativeFileWatcherImpl - Watcher terminated with exit code 0 
2019-06-21 23:50:52,756 [  79764]   INFO - newvfs.persistent.PersistentFS - VFS dispose started 
2019-06-21 23:50:52,758 [  79766]   INFO - newvfs.persistent.PersistentFS - VFS dispose completed 
2019-06-21 23:50:52,762 [  79770]   INFO -        #com.intellij.idea.Main - ------------------------------------------------------ IDE SHUTDOWN ------------------------------------------------------ 
2019-06-21 23:50:52,769 [  79777]   INFO - org.jetbrains.io.BuiltInServer - web server stopped 
2019-06-24 13:29:23,518 [      0]   INFO -        #com.intellij.idea.Main - ------------------------------------------------------ IDE STARTED ------------------------------------------------------ 
2019-06-24 13:29:23,669 [    151]   INFO -        #com.intellij.idea.Main - IDE: WebStorm (build #WS-191.7479.14, 27 May 2019 15:16) 
2019-06-24 13:29:23,669 [    151]   INFO -        #com.intellij.idea.Main - OS: Linux (4.18.0-15-generic, amd64) 
